epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1585.65,0.62702,0.55964,1.48986,0.77673,0.72501,0.78449,0.66037,0.67253,0.76301,1.58436,0.0005941,0.0005941,0.0005941
43,1622.87,0.63208,0.57283,1.54477,0.74872,0.77981,0.79615,0.6666,0.70654,0.75749,1.55049,0.0005842,0.0005842,0.0005842
44,1660.18,0.63205,0.56809,1.48011,0.75135,0.7459,0.77695,0.64576,0.68712,0.74568,1.59419,0.0005743,0.0005743,0.0005743
45,1697.09,0.63243,0.54256,1.50295,0.77219,0.77732,0.79013,0.66103,0.68845,0.76577,1.5345,0.0005644,0.0005644,0.0005644
46,1733.29,0.60714,0.54596,1.51145,0.76139,0.76345,0.79846,0.67099,0.68511,0.75632,1.53773,0.0005545,0.0005545,0.0005545
47,1768.81,0.60979,0.5303,1.48008,0.73915,0.77145,0.79584,0.66615,0.68812,0.77388,1.53018,0.0005446,0.0005446,0.0005446
48,1804.52,0.60571,0.53418,1.48085,0.77683,0.78923,0.8034,0.67727,0.66364,0.76715,1.54596,0.0005347,0.0005347,0.0005347
49,1842.12,0.60897,0.55104,1.46027,0.78005,0.75384,0.79201,0.66636,0.6599,0.75852,1.5604,0.0005248,0.0005248,0.0005248
50,1879.01,0.61103,0.52715,1.47026,0.73355,0.7742,0.78491,0.65492,0.66888,0.74414,1.5613,0.0005149,0.0005149,0.0005149
51,1915.04,0.60454,0.51546,1.45135,0.78734,0.73435,0.78664,0.64842,0.68316,0.78297,1.51335,0.000505,0.000505,0.000505
52,1953,0.58596,0.50603,1.47037,0.79593,0.75167,0.79334,0.6679,0.6812,0.77441,1.52582,0.0004951,0.0004951,0.0004951
53,1991.19,0.59961,0.52371,1.4669,0.77345,0.7764,0.81037,0.68547,0.66143,0.8026,1.5419,0.0004852,0.0004852,0.0004852
